case,angle_deg,n_rows,last_time,last_cm,last_cd,last_cl,mean_cm,mean_cd,mean_cl
savonius_mrf_rot90cw,-90.0,21,20.0,-0.096107905,3.2373968,0.82495612,0.3391702795,-0.910919042,0.511811316
savonius_mrf,0.0,21,20.0,0.17679602,0.88071185,-0.41262743,0.46750467999999995,0.4532018107,-1.0669475556
